advert_id,manufacturer_id,model_id,Year,Engine size (litres),Mileage (miles),fuel_type_id,transmission_type_id,Colour,body_type_id,Mpg,wheel_drive_type_id,Doors,Seats,Engine power (bhp),Top speed (mph),Acceleration (0-62 mph) (seconds),CO2 rating (g/km),Tank range (miles),price,status
29928979,1,22,2012,1.995,79406,2,2,BLUE,5,62.8,1,2,4,143,130,9.0,118,705,4995,inactive on: 10/09/2023
29928982,8,21,2017,1.95,60699,2,3,GREY,6,67.3,1,5,5,191,146,7.7,109,977,20000,
29928983,11,37,2017,0.999,105477,1,2,BLACK,2,62.8,2,5,5,114,128,9.9,104,691,8999,
29928984,5,5,2018,0.999,49744,1,2,WHITE,2,58.9,2,5,5,108,122,9.6,109,648,13000,
29928997,9,50,2009,1.24,40600,1,3,BLACK,2,42.8,2,5,5,79,90,17.9,159,433,6499,
29929008,8,8,2015,1.461,48573,2,2,SILVER,2,72.4,2,5,5,109,118,11.3,102,796,10895,
29929017,24,96,2019,1.461,42665,2,2,BLUE/BLACK,2,67.3,2,5,5,90,106,13.1,110,666,10695,
29929018,32,181,2016,1.198,61710,1,2,BLUE,2,46.3,2,5,5,125,109,10.4,138,509,5995,
29929022,8,8,2016,2.143,58653,2,3,SILVER,2,67.3,2,5,5,175,139,7.5,107,740,14395,
29929023,8,21,2017,1.95,109046,2,3,SILVER,1,72.4,1,4,5,191,149,7.3,105,1051,14795,
29929034,22,81,2018,1.56,124118,2,2,RED,2,70.6,2,5,5,120,117,11.2,104,823,10295,
29929047,15,162,2017,1.248,54000,1,2,BLACK,2,58.9,2,5,5,83,107,12.5,109,583,7995,
29929048,15,25,2012,0.998,96000,1,2,RED,2,67.3,2,5,5,68,95,13.9,99,518,4295,
29929051,14,54,2009,1.998,140000,1,2,WHITE,2,31.0,2,3,4,197,146,6.6,215,341,5995,
29929054,9,70,2014,1.461,182000,2,2,GREY,2,74.3,2,5,5,108,113,11.9,99,899,4995,inactive on: 04/09/2023
29929060,20,176,2016,1.598,55000,2,2,RED,2,68.9,2,5,5,120,116,10.5,109,727,7995,inactive on: 18/09/2023
29929066,22,159,2015,1.56,45000,2,3,GREY,2,74.3,2,5,5,92,112,13.3,98,817,8995,
